gvkey,datadate,fyear,revt,rect,ppegt,epspi,ni,at,oancf,sic,rdq
1602,10682,1988.000000,70.198997,15.005000,116.294000,-0.490000,-8.161000,207.085010,-5.850000,2836,08may1989
1602,11047,1989.000000,190.383000,61.582001,153.856990,1.110000,19.118999,308.052000,18.694000,2836,01may1990
1602,11412,1990.000000,381.245000,92.656998,218.108000,0.780000,34.339001,514.026000,21.922001,2836,18jul1991
1602,11687,1991.000000,682.043030,88.191002,309.812010,0.670000,97.851997,865.531010,227.517000,2836,03feb1992
1602,12053,1992.000000,1093.041000,156.043000,522.187010,2.430000,357.600010,1374.330000,295.872990,2836,04feb1993
1602,12418,1993.000000,1373.842000,164.337010,730.661010,2.670000,383.312990,1765.522900,433.679990,2836,01feb1994
1602,12783,1994.000000,1647.904100,194.712010,873.374020,2.290000,319.665010,1994.147000,531.890010,2836,02feb1995
1602,13148,1995.000000,1939.900000,199.300000,1033.400000,1.920000,537.700010,2432.800000,773.200010,2836,31jan1996
1602,13514,1996.000000,2239.800000,225.399990,1301.200000,2.420000,679.799990,2765.600100,822.599980,2836,23jan1997
1602,13879,1997.000000,2401.000000,269.000000,1669.200000,2.440000,644.299990,3110.200000,902.900020,2836,22jan1998
1602,14244,1998.000000,2718.200000,319.899990,2051.899900,3.390000,863.200010,3672.200000,1041.500000,2836,28jan1999
1602,14609,1999.000000,3340.100100,412.200010,2315.200000,1.070000,1096.400000,4077.600100,1075.300000,2836,25jan2000
1602,14975,2000.000000,3629.399900,389.200010,2719.200000,1.110000,1138.500000,5399.600100,1634.600000,2836,24jan2001
1602,15340,2001.000000,4015.700000,497.200010,3109.899900,1.070000,1119.700000,6443.100100,1480.200000,2836,23jan2002
1602,15705,2002.000000,5523.000000,752.400020,4240.399900,-1.210000,-1391.900000,24456.301000,2248.800000,2836,23jan2003
1602,16070,2003.000000,8356.000000,1007.900000,5526.100100,1.750000,2259.500000,26176.500000,3566.600100,2836,22jan2004
1602,16436,2004.000000,10550.000000,1461.000000,6792.000000,1.860000,2363.000000,29221.000000,3697.000000,2836,27jan2005
1602,16801,2005.000000,12430.000000,1769.000000,7321.000000,2.970000,3674.000000,29297.000000,4911.000000,2836,26jan2006
1602,17166,2006.000000,14268.000000,2124.000000,8688.000000,2.510000,2950.000000,33788.000000,5389.000000,2836,25jan2007
1602,17531,2007.000000,14771.000000,2101.000000,9501.000000,2.830000,3166.000000,34639.000000,5401.000000,2836,24jan2008
1602,17897,2008.000000,15003.000000,2073.000000,9995.000000,3.920000,4196.000000,36443.000000,5988.000000,2836,26jan2009
1602,18262,2009.000000,14642.000000,2109.000000,10376.000000,4.530000,4605.000000,39629.000000,6336.000000,2836,25jan2010
1602,18627,2010.000000,15053.000000,2335.000000,10688.000000,4.820000,4627.000000,43486.000000,5787.000000,2836,24jan2011
1602,18992,2011.000000,15582.000000,2896.000000,11231.000000,4.070000,3683.000000,48871.000000,5119.000000,2836,26jan2012
1602,19358,2012.000000,17265.000000,2518.000000,11947.000000,5.610000,4345.000000,54298.000000,5882.000000,2836,23jan2013
1602,19723,2013.000000,18676.000000,2719.000000,12291.000000,6.750000,5081.000000,66125.000000,6291.000000,2836,28jan2014
1602,20088,2014.000000,20063.000000,2568.000000,12256.000000,6.800000,5158.000000,69009.000000,8555.000000,2836,27jan2015
1602,20453,2015.000000,21662.000000,2995.000000,12172.000000,9.150000,6939.000000,71576.000000,9077.000000,2836,28jan2016
1602,20819,2016.000000,22991.000000,3165.000000,12427.000000,10.320000,7722.000000,77626.000000,10354.000000,2836,02feb2017
1602,21184,2017.000000,22849.000000,3237.000000,12579.000000,2.710000,1979.000000,79954.000000,11177.000000,2836,01feb2018
